Week,Time_slot,subject_candidates,result,value
1,1,"{5,15,18}","{5:55},{15:31},{18:32}",3.0
1,2,{11},"{11:33},{11:58}",2.0
1,3,"{13,16,52}","{13:3},{16:6},{16:11},{16:26},{16:33},{16:54},{16:55},{52:4},{52:18},{52:41},{52:49}",11.0
1,4,"{13,53}","{13:45},{53:8},{53:11},{53:31},{53:49}",5.0
1,5,{48},{48:32},1.0
1,6,{47},"{47:11},{47:33},{47:49}",3.0
1,7,{30},"{30:11},{30:49}",2.0
1,8,"{21,28}","{21:8},{21:48},{28:49}",3.0
1,9,{45},"{45:1},{45:32},{45:33}",3.0
2,1,"{1,10,19}","{1:27},{1:32},{10:15},{10:19},{10:44},{10:50},{19:55}",7.0
2,2,"{7,48}","{7:10},{7:11},{7:16},{7:28},{48:13}",5.0
2,3,{35},{35:16},1.0
2,4,{2},"{2:13},{2:50}",2.0
2,5,"{13,35,42}","{13:45},{35:1},{42:10}",3.0
2,6,{38},"{38:32},{38:50}",2.0
2,7,{40},"{40:11},{40:54},{40:55}",3.0
2,8,{51},"{51:11},{51:13},{51:32},{51:44}",4.0
2,9,{11},"{11:50},{11:55}",2.0
3,1,{43},"{43:29},{43:50}",2.0
3,2,"{13,40}","{13:9},{40:17},{40:49},{40:58}",4.0
3,3,"{3,6,33}","{3:0},{6:11},{6:30},{6:33},{33:4}",14.0
3,4,"{10,13,52}","{10:11},{10:15},{10:46},{10:49},{13:33},{52:7},{52:34},{52:58}",8.0
3,5,"{13,33}","{13:50},{33:30}",2.0
3,6,{1},"{1:49},{1:50}",2.0
3,7,{35},{35:17},1.0
3,8,{11},"{11:8},{11:49}",2.0
3,9,{34},"{34:32},{34:50}",2.0
4,1,{48},{48:5},1.0
4,2,{32},{32:14},1.0
4,3,"{11,18,28}","{11:4},{11:34},{18:11},{28:49}",4.0
4,4,"{5,15}","{5:49},{15:16}",2.0
4,5,{48},"{48:10},{48:16}",2.0
4,6,{11},"{11:16},{11:49}",2.0
4,7,{30},"{30:11},{30:49}",2.0
4,8,{29},"{29:11},{29:49}",2.0
4,9,{33},{33:14},1.0
5,1,"{20,33}","{20:1},{20:31},{20:58},{33:4}",4.0
5,2,{35},{35:14},1.0
5,3,"{13,21,42}","{13:23},{21:49},{21:54},{42:16}",4.0
5,4,"{19,35}","{19:51},{35:16}",2.0
5,5,{33},{33:16},1.0
5,6,"{13,51}","{13:16},{51:1},{51:8},{51:31},{51:49}",5.0
5,7,"{7,16}","{7:13},{7:31},{7:33},{7:49},{16:1},{16:4},{16:17},{16:51},{16:54},{16:58}",10.0
5,8,{45},"{45:8},{45:13},{45:49}",3.0
5,9,{11},"{11:4},{11:58}",2.0
6,1,"{10,11}","{10:13},{10:19},{10:20},{10:41},{11:16},{11:55}",6.0
6,2,{15},{15:11},1.0
6,3,{43},"{43:11},{43:55}",2.0
6,4,{53},"{53:11},{53:16},{53:44},{53:55}",4.0
6,5,{35},{35:15},1.0
6,6,"{18,32}","{18:50},{32:31}",2.0
6,7,{40},"{40:6},{40:13},{40:55}",3.0
6,8,{45},"{45:11},{45:13},{45:44}",3.0
6,9,{2},"{2:50},{2:55}",2.0
7,1,"{5,47}","{5:38},{47:13},{47:44},{47:55}",4.0
7,2,"{13,52}","{13:33},{52:6},{52:8},{52:13}",4.0
7,3,{30},"{30:33},{30:55}",2.0
7,4,{48},{48:33},1.0
7,5,{11},"{11:4},{11:58}",2.0
7,6,"{1,3,28}","{1:6},{1:29},{3:8},{3:16},{3:30},{3:33},{28:39}",7.0
7,7,"{6,16}","{6:13},{6:46},{6:55},{16:4},{16:12},{16:33},{16:44},{16:54},{16:58}",9.0
7,8,{1},"{1:35},{1:54}",2.0
7,9,"{10,52}","{10:20},{10:29},{10:44},{10:47},{52:33},{52:34},{52:58}",7.0
8,1,{11},"{11:4},{11:50}",2.0
8,2,"{1,18,19,42}","{1:7},{1:49},{18:21},{19:23},{42:2}",5.0
8,3,{14},"{14:16},{14:49},{14:55}",3.0
8,4,{45},"{45:31},{45:49},{45:50}",3.0
8,5,{43},"{43:50},{43:55}",2.0
8,6,{21},"{21:26},{21:49}",2.0
8,8,{11},"{11:49},{11:54}",2.0
8,9,{47},"{47:29},{47:50},{47:55}",3.0
9,1,{38},"{38:50},{38:58}",2.0
9,2,{33},{33:14},1.0
9,3,"{28,44,48}","{28:10},{44:49},{48:33}",3.0
9,6,{53},"{53:1},{53:32},{53:49},{53:50}",4.0
9,7,{15},{15:13},1.0
9,8,{1},"{1:32},{1:49}",2.0
9,9,"{7,50}","{7:10},{7:29},{7:32},{7:50},{50:15},{50:35},{50:48},{50:58}",8.0
10,1,{12},"{12:4},{12:32}",2.0
10,2,{27},{27:49},1.0
10,3,{32},{32:17},1.0
10,5,{20},"{20:4},{20:7},{20:51}",3.0
10,7,"{18,45}","{18:13},{45:28},{45:32},{45:49}",4.0
10,8,{4},"{4:11},{4:29},{4:49}",3.0
11,1,{41},"{41:4},{41:13},{41:17},{41:19},{41:32},{41:50},{41:55},{41:58}",8.0
11,3,"{37,52}","{37:4},{52:6},{52:11},{52:22}",4.0
11,4,{7},"{7:13},{7:33},{7:44},{7:50}",4.0
11,9,{10},"{10:15},{10:26},{10:41},{10:44}",4.0
12,1,{2},"{2:29},{2:58}",2.0
12,2,{33},{33:14},1.0
12,6,{6},"{6:10},{6:11},{6:49}",3.0
12,8,{30},"{30:11},{30:49}",2.0
