Week,Time_slot,subject_candidates,result,value
1,1,"{11,13}","{11:4},{11:58},{13:32}",3.0
1,2,"{5,16,18,40}","{5:11},{16:15},{16:27},{16:28},{16:33},{16:35},{16:49},{18:8},{40:6},{40:26},{40:58}",11.0
1,3,{35},{35:55},1.0
1,4,{53},"{53:8},{53:11},{53:49},{53:55}",4.0
1,5,{35},{35:15},1.0
1,6,{45},"{45:28},{45:32},{45:49}",3.0
1,7,{30},"{30:11},{30:49}",2.0
1,8,"{28,33}","{28:8},{33:32}",2.0
1,9,"{13,48}","{13:45},{48:32}",2.0
2,1,"{1,7,19}","{1:32},{1:44},{7:1},{7:16},{7:50},{7:55},{19:27}",7.0
2,2,{52},"{52:7},{52:11},{52:28}",3.0
2,3,"{10,35}","{10:6},{10:11},{10:41},{10:54},{35:16}",5.0
2,4,{33},{33:54},1.0
2,5,"{2,42}","{2:7},{2:48},{42:50}",3.0
2,6,"{11,13}","{11:50},{11:54},{13:42}",3.0
2,7,{40},"{40:11},{40:54},{40:55}",3.0
2,8,{35},{35:27},1.0
2,9,{51},"{51:1},{51:10},{51:32},{51:50}",4.0
3,1,"{3,6,15}","{3:0},{6:32},{6:46},{6:50},{15:5}",14.0
3,2,{48},{48:49},1.0
3,3,"{13,43}","{13:33},{43:11},{43:49}",3.0
3,5,"{13,52}","{13:50},{52:1},{52:7},{52:58}",4.0
3,6,{10},"{10:29},{10:46},{10:49},{10:51}",4.0
3,7,{47},"{47:29},{47:32},{47:49}",3.0
3,9,"{13,21}","{13:50},{21:15},{21:58}",3.0
4,1,"{28,48}","{28:16},{48:5}",2.0
4,2,{32},{32:14},1.0
4,3,"{18,33}","{18:49},{33:34}",2.0
4,4,{48},{48:49},1.0
4,5,{45},{45:0},10.0
4,6,{15},{15:11},1.0
4,7,{35},{35:14},1.0
4,8,{1},"{1:7},{1:49}",2.0
4,9,"{5,30}","{5:5},{30:0}",11.0
5,1,"{13,20,42,47}","{13:5},{20:4},{20:35},{20:58},{42:13},{47:1},{47:16},{47:31}",8.0
5,2,{21},"{21:13},{21:49}",2.0
5,3,{33},{33:14},1.0
5,4,"{7,16}","{7:8},{7:10},{7:33},{7:49},{16:4},{16:13},{16:16},{16:35},{16:48},{16:54}",10.0
5,6,{19},{19:49},1.0
5,7,{53},"{53:13},{53:31},{53:33},{53:49}",4.0
5,9,"{13,34}","{13:33},{34:1},{34:8}",3.0
6,1,{15},{15:13},1.0
6,2,{43},"{43:11},{43:13}",2.0
6,3,"{10,52}","{10:0},{52:6},{52:11},{52:16}",13.0
6,5,"{18,40}","{18:50},{40:1},{40:13},{40:44}",4.0
6,8,{38},"{38:7},{38:11}",2.0
6,9,{35},{35:15},1.0
7,1,{30},"{30:13},{30:55}",2.0
7,2,"{5,11,13}","{5:33},{11:27},{11:58},{13:13}",4.0
7,3,{38},"{38:4},{38:55}",2.0
7,4,"{3,28,32}","{3:8},{3:13},{3:30},{3:55},{28:33},{32:5}",6.0
7,5,{2},"{2:26},{2:58}",2.0
7,6,"{10,45}","{10:8},{10:29},{10:46},{10:47},{45:30},{45:33},{45:44}",7.0
7,7,{51},"{51:13},{51:29},{51:33},{51:55}",4.0
7,8,{11},"{11:13},{11:34}",2.0
7,9,"{6,33}","{6:8},{6:30},{6:33},{33:55}",4.0
8,1,{1},"{1:4},{1:50}",2.0
8,2,"{11,18,42}","{11:7},{11:16},{18:49},{42:23}",4.0
8,3,"{14,19}","{14:16},{14:49},{14:55},{19:41}",4.0
8,4,{45},"{45:31},{45:49},{45:50}",3.0
8,5,{1},"{1:4},{1:7}",2.0
8,6,{33},{33:16},1.0
8,7,{11},"{11:49},{11:54}",2.0
8,8,{29},"{29:29},{29:49}",2.0
8,9,{53},{53:0},10.0
9,1,{11},"{11:1},{11:58}",2.0
9,2,"{33,44}","{33:17},{44:33}",2.0
9,3,"{28,48}","{28:49},{48:33}",2.0
9,4,{11},"{11:7},{11:49}",2.0
9,5,{16},"{16:1},{16:16},{16:17},{16:48},{16:50},{16:51}",6.0
9,6,{21},"{21:49},{21:50}",2.0
9,7,{43},"{43:33},{43:49}",2.0
9,8,{48},{48:49},1.0
9,9,"{7,52}","{7:10},{7:29},{7:33},{7:50},{52:32},{52:48},{52:58}",7.0
10,1,{12},"{12:4},{12:32}",2.0
10,2,{32},{32:17},1.0
10,3,"{11,37}","{11:11},{11:49},{37:56}",3.0
10,4,{4},"{4:11},{4:30},{4:49}",3.0
10,6,{47},"{47:1},{47:29},{47:49}",3.0
10,7,"{18,20}","{18:49},{20:1},{20:11},{20:32}",4.0
10,8,{53},"{53:8},{53:11},{53:13},{53:49}",4.0
10,9,{45},"{45:1},{45:8},{45:30}",3.0
11,1,{41},"{41:4},{41:13},{41:17},{41:19},{41:32},{41:50},{41:55},{41:58}",8.0
11,2,{52},"{52:8},{52:11},{52:26}",3.0
11,5,{1},"{1:15},{1:50}",2.0
11,6,{10},"{10:6},{10:30},{10:44},{10:50}",4.0
11,7,{7},"{7:11},{7:31},{7:32},{7:46}",4.0
11,8,{15},{15:11},1.0
11,9,{50},"{50:4},{50:32},{50:44},{50:58}",4.0
12,1,{2},"{2:29},{2:58}",2.0
12,2,{33},{33:14},1.0
12,3,{27},{27:49},1.0
12,7,{30},"{30:11},{30:49}",2.0
12,8,{6},"{6:41},{6:44},{6:49}",3.0
